character,line,episode
Michael:, Okay! So... ,no2-11.php
Captain Jack:, Please. The life preservers.,no2-11.php
Michael:, Right.,no2-11.php
Captain Jack:," They are located underneath the seats, all along the border of the boat.",no2-11.php
Michael:," But don't worry, you are not going to be needing life preservers tonight.",no2-11.php
Captain Jack:," Well, we might, okay? Please let me finish, okay? Thank you. So, the Coast Guard requires that I tell you where the safety exits are. On this ship, it's very easy. Anywhere over the side. [Dwight laughs loudly.] Not only am I your ship captain, I am also your party captain! Whoo! We're gonna get it going in just a few minutes here... ",no2-11.php
Michael:, I'm your party captain too! And you are gonna put on your dancing shoes later on! So we are gonna... ,no2-11.php
Captain Jack:," Okay, Michael, if you don't mind... ",no2-11.php
Michael:, Rock it!,no2-11.php
Captain Jack:," Please, okay? ",no2-11.php
Michael:," If the boat's a-rockin', don't come knockin'!",no2-11.php
Captain Jack:, Michael.,no2-11.php
Michael:, Yep.,no2-11.php
Captain Jack:," Your company's employees are not the only people on the boat tonight, okay?",no2-11.php
Michael:, We're all gonna have a good time tonight!,no2-11.php
Captain Jack:, Why don't you let me and my crew do our job. You just sit back and have a good time. All right?,no2-11.php
Michael:, Hm? Okay. Yep.,no2-11.php
Katy:," You guys, it's like we're in high school and we're at the cool table. Right?",no2-11.php
Roy:, Yeah.,no2-11.php
Katy:," Pam, were you a cheerleader?",no2-11.php
Roy:," No, she was totally Miss Artsy-Fartsy in high school. She wore the turtleneck and everything!",no2-11.php
Katy:, That's hilarious.,no2-11.php
Jim:," It's not hilarious, but... ",no2-11.php
Roy:, Where did you go to school?,no2-11.php
Katy:, Bishop O'Hara.,no2-11.php
Roy:," Piss slop who cares-a? We played you! You... you really look familiar. Did you... you cheered for them, didn't you?",no2-11.php
Jim:," Um, no.",no2-11.php
Katy:," Yes, I did! [chanting] A-W-E-S-O-M-E! Awesome! Awesome is what we are! We're the football superstars! A-W-E-S-O-M-E!",no2-11.php
Roy:, I remember that! We crushed you like 42-10!,no2-11.php
Michael:, Having fun?,no2-11.php
Brenda:, Yeah. Everybody's really nice.,no2-11.php
Michael:," Good. Well, that is what Scranton is all about. Not like you New Yawkers.",no2-11.php
Brenda:, When are you going to start the presentation?,no2-11.php
Michael:," Well, we already sort of started it back at the office and on the dock with the Gilligan thing, so... right now, I was thinking. Yes. Okay, listen up all you Dunder-Mifflinites! I would like to talk to you all about life preservers. Now, one important life preserver in business is IT support.",no2-11.php
Captain Jack:," Not now, Mike, we're doing the limbo! That's right, partiers, it's time to limbo, limbo, limbo!",no2-11.php
Michael:," So, okay.",no2-11.php
Dwight:," Limbo, whoo!",no2-11.php
Captain Jack:, All right! I need a volunteer to come up here and hold my stick. Who's it gonna be?,no2-11.php
Meredith:, Me.,no2-11.php
Captain Jack:, Okay... ,no2-11.php
Dwight:," Me! Me, me, me.",no2-11.php
Captain Jack:, Uh... usually it's a woman.,no2-11.php
Dwight:, I'm stronger.,no2-11.php
Captain Jack:," Hey, I got an idea! How would you like to steer the ship, Dwight?",no2-11.php
Captain Jack:, Keep us on a steady course. Keep a sharp eye out. I'm counting on you!,no2-11.php
Dwight:," I was the youngest pilot in Pan Am history. When I was four, the pilot let me ride in the cockpit and fly the plane with him. And I was four. And I was great. And I would have landed it, but my dad wanted us to go back to our seats.",no2-11.php
Captain Jack:," All right, all right, that was great! Now it's time for the dance contest!",no2-11.php
Michael:," But before that, I have to do my presentation.",no2-11.php
Captain Jack:, Nope! Dance contest!,no2-11.php
Michael:," All right, we'll have a motivational dance contest! Hit it! Yeah, okay, dancing! It is a primal art form used in ancient times to express yourself with the body and communicate! ",no2-11.php
Michael:, Sometimes you have to take a break from being the kind of boss that's always trying to teach people things. Sometimes you have to just be the boss of dancing.,no2-11.php
Dwight:, [singing] What do you do with a drunken sailor? What do you do with a drunken sailor? What do you do with a drunken sailor early in the morning?,no2-11.php
Angela:," Hey, come inside and talk to me.",no2-11.php
Dwight:," I can't. Do you want us to run aground, woman?!",no2-11.php
Darryl and Katy:, [chanting] Snorkel shot! Snorkel shot!,no2-11.php
Roy:," Whoo! Who's next? Come on, Pam! Come on! Come on!",no2-11.php
Pam:," No, I'm not going to do that.",no2-11.php
Roy:, Come on!,no2-11.php
Darryl:, That's what I'm talking about!,no2-11.php
Pam:," Hey, why don't we find like a quieter place to hang out?",no2-11.php
Roy:, I've just gotta wait for Darryl to do his shot. Just a minute. Come on! [chanting] Darryl! Darryl!,no2-11.php
Pam:, It's getting kind of rowdy down there.,no2-11.php
Jim:, Yeah. [chanting] Darryl! Darryl! Darryl!,no2-11.php
Pam:, Sometimes I just don't get Roy.,no2-11.php
Jim:, Well... ,no2-11.php
Pam:," I mean, I don't know. So... what's it like dating a cheerleader?",no2-11.php
Jim:," Oh, um... [A long silence.]",no2-11.php
Pam:, I'm cold.,no2-11.php
Captain Jack:," So, what's this presentation all about?",no2-11.php
Michael:," Ah! See, this is of general interest. It is about priorities and making decisions, using the boat as an analogy. What is important to you? If the boat is sinking, what do you save?",no2-11.php
Captain Jack:, Women and children.,no2-11.php
Michael:," No, no. Salesmen and profit centers.",no2-11.php
Captain Jack:, That's a stupid analogy.,no2-11.php
Michael:," Okay, well, obviously you don't know anything about leadership.",no2-11.php
Captain Jack:," Well, I was the captain of a PC-1 Cyclone Coastal Patrol Boat during Desert Storm.",no2-11.php
Dwight:, Wow. You should be the motivational speaker.,no2-11.php
Michael:, Okay.,no2-11.php
Dwight:," Yeah. He gives me real responsibility, Michael. Captain Jack delegates. He's let me steer the ship for the last hour.",no2-11.php
Katy:, I'd like to be engaged. How did you manage to pull that off?,no2-11.php
Pam:," Uh, I've been engaged for three years, and there's no end in sight. So... you don't wanna ask my advice.",no2-11.php
Captain Jack:," Suppose your office building's on fire. Jim, who would you save?",no2-11.php
Jim:," Um... let's see, uh...  The customer. Because the customer is king.",no2-11.php
Michael:," Not what I was looking for, but a good thought.",no2-11.php
Captain Jack:, He's just sucking up! ,no2-11.php
Roy:," When you were in the Navy, did you ever almost die?",no2-11.php
Captain Jack:," Oh yeah, oh yeah. And I wasn't thinking about some customer. I was thinking about my first wife. The day I got back on shore, I married her.",no2-11.php
Jim:, You know what? I would save the receptionist. I just wanted to clear that up.,no2-11.php
Roy:," Hello, everybody, could I have your attention for just a second? Could you listen to me for a second? We were up at the front, and we were talking about what's really important, and... Pam, I think enough is enough. I think we should set a date for our wedding. How about June 10th? Come on, let's do it! Come on, Pam!",no2-11.php
Michael:," I don't want to take credit for this, but Roy and I were just having a conversation about making commitments and making choices. Right? Did I motivate you?",no2-11.php
Roy:," No, it was Captain Jack.",no2-11.php
Michael:," Well... could have been either one of us, because we were pretty much saying the same thing.  Congratulations. That is great!",no2-11.php
Captain Jack:," We gotta celebrate! Hey, I got an idea, I got an idea. I can marry you right now, as captain of the ship!",no2-11.php
Michael:, Yes! I can marry you as regional manager of Dunder-Mifflin!,no2-11.php
Pam:," No, no, I want my mom and dad to be there.",no2-11.php
Michael:, Then I'll give you away!,no2-11.php
Pam:," No, thank you.",no2-11.php
Katy:, Do you think that'll ever be us?,no2-11.php
Jim:, No.,no2-11.php
Katy:, What is wrong with you? Why did you even bring me here tonight?,no2-11.php
Jim:, I don't know. Let's break up.,no2-11.php
Katy:, Whoa. What?,no2-11.php
Captain Jack:, This is where Captain Jack drives the boat.,no2-11.php
Meredith:, Wow!,no2-11.php
Dwight:, Seasick? Captain Jack says you should look at the Moon.,no2-11.php
Michael:, Captain Jack is a fart face. I'm on medication.,no2-11.php
Brenda:, Really? What?,no2-11.php
Michael:," Vomicillin. Okay. All right. It's time to be boss. It's time to motivate. Let's blow some minds here. Okay, guys, guys, cool it. Everybody, Dunder-Mifflin Scranton employees, Brenda, I have some very, very urgent news I need to tell everybody right now. Listen up. The ship is sinking! Okay? We're going down, right now. Just wrap your heads around the reality of that. Shh, please! Everybody, it's my turn now, okay? Captain Jack is gone. In five minutes, this ship is going to be at the bottom of the lake! And there aren't enough spaces on the lifeboat! Who are we gonna save? Do we save sales? Do we save customer service? Do we save accounting? This is a business scenario. Right? It's a scary... it's a... ",no2-11.php
Captain Jack:, Hey! Hey! What the hell is going on here?,no2-11.php
Michael:," It's a predicament, and it's something that each and every one of us has to think about.",no2-11.php
Michael:," I'm in the brig. See? The boat's not as corporate-friendly as advertised. What was the deal with the guy jumping overboard? What was... if he had just waited and heard what I had to say, he would be motivated right now and not all wet.",no2-11.php
Michael:, Is somebody there?,no2-11.php
Jim:, What happened to you?,no2-11.php
Michael:, Captain Jack has a problem with authority.,no2-11.php
Jim:," Oh, right, because you announced that his ship was sinking?",no2-11.php
Michael:," He just totally lost it. If you ask me, he caused the panic.",no2-11.php
Jim:, What a night.,no2-11.php
Michael:," Well, it's nice for you. Your friend got engaged.",no2-11.php
Jim:, She was always engaged.,no2-11.php
Michael:, Roy said the first one didn't count.,no2-11.php
Jim:," That's... great. You know, to tell the truth, I used to have a big thing for Pam, so... ",no2-11.php
Michael:," Really? You're kidding me. You and Pam? Wow. I would have never have put you two together. You really hid it well. God! I usually have a radar for stuff like that. You know, I made out with Jan... ",no2-11.php
Jim:," Yeah, I know.",no2-11.php
Michael:," Yeah? Yep. Well, Pam is cute.",no2-11.php
Jim:," Yeah. She's really funny, and she's warm. And she's just... well, anyway.",no2-11.php
Michael:," Well, if you like her so much, don't give up.",no2-11.php
Jim:, She's engaged.,no2-11.php
Michael:, BFD. Engaged ain't married.,no2-11.php
Jim:, Huh.,no2-11.php
Michael:," Never, ever, ever give up.",no2-11.php
Dwight:," Don't worry, Michael. I'm taking us to shore.",no2-11.php
Michael:," It's a fake wheel, dummy.",no2-11.php
Phyllis:, Are you all packed?,no2-11.php
Kelly:," Yes, I brought my duffel bag and a sleeping bag.",no2-11.php
Oscar:, Where do you guys think we're going?,no2-11.php
Kelly:, Definitely some place you can swim.,no2-11.php
Oscar:,  Right.,no2-11.php
Phyllis:, Maybe Florida.,no2-11.php
Kelly:, Did you hear something?,no2-11.php
Michael:, [knocking] Yeah.,no2-11.php
Jan:," Hello, Michael.",no2-11.php
Michael:, Hello. ,no2-11.php
Jan:, Can we come in?,no2-11.php
Michael:," Of course, yeah, yeah, yeah.",no2-11.php
Jan:, Thank you very much.,no2-11.php
Michael:,  Have a seat.,no2-11.php
Jan:, Brenda.,no2-11.php
Michael:," Oh, every man's dream.",no2-11.php
Jan:," Oh, really? A surprise visit from his boss?",no2-11.php
Michael:," Two ladies at once. What? Why are you looking at me like that? Okay, you heard something. Um, yeah, it's a booze cruise, but it... There's more to the story than that. It...",no2-11.php
Jan:, A booze cruise? What do you mean?,no2-11.php
Michael:," Leadership off-site. Uh, booze cruise is just a rhyme...",no2-11.php
Jan:," Michael, we discussed the IRS's regulations.",no2-11.php
Michael:," Yeah, I don't even know why I said booze cruise. I don't even think there's booze on the boat.",no2-11.php
Jan:," Okay, this event has to have legitimate business content to be tax deductible.",no2-11.php
Michael:, Of course.,no2-11.php
Jan:, We discussed that.,no2-11.php
Michael:," Of course, of course. Yes. Yes. Look, I have a whole program planned. Jan, this program is going to change people's lives. I am going to be dropping serious knowledge all over the boat.",no2-11.php
Jan:, Good. This is Brenda Matlow from corporate training.,no2-11.php
Michael:, Hello.,no2-11.php
Jan:," I thought she could attend tonight, and if your event is appropriate, you could give it to other branches.",no2-11.php
Michael:," Oh, cool. Cool. And maybe you could attend tonight and then you could stay over at my house for the night. Awkward. That's... You know what. Brenda, could Jan and I have a moment alone?",no2-11.php
Brenda:, Jan said if you asked me that I was supposed to say no.,no2-11.php
Michael:," Really? You seriously said that? Okay. Brenda, could Jan and I have a moment alone?",no2-11.php
Brenda:, Sure...,no2-11.php
Jan:, Brenda.,no2-11.php
Michael:, Thanks.,no2-11.php
Brenda:," I mean, no.",no2-11.php
Jan:," Okay, you know, I'm gonna go now, and...",no2-11.php
Michael:," Oh, okay.",no2-11.php
Jan:," Good luck, Brenda.",no2-11.php
Michael:, I'll see you later.,no2-11.php
Jan:," Okay, see you later. And try to be professional.",no2-11.php
Michael:, I'll call you later.,no2-11.php
Jan:," No, that's all right.",no2-11.php
Michael:, That's like...,no2-11.php
Jan:," You call me if you need anything, Brenda.",no2-11.php
Michael:," I'll call you, too. [to Brenda] So. You are probably gonna get carded, so I can make you a fake ID. We have a laminating machine.",no2-11.php
Michael:," What is a sales department? Oscar, what do you think?",no2-11.php
Oscar:, I don't know what the categories are of workers on a boat.,no2-11.php
Michael:, I'm not giving you the answer. Deck hands is one. And...,no2-11.php
Dwight:," Oh, oh, can I be the first mate?",no2-11.php
Michael:," No, I'm first mate. You're second mate. I'm first mate, as the captain.",no2-11.php
Pam:, How about the anchor?,no2-11.php
Michael:," Well, the anchor is the only thing that kind of slows the ship down. Toby is the anchor. Oh, God. He, well... [to Brenda] Tell you about Toby later, he's awful.",no2-11.php
Brenda:," Yeah, I know Toby from Jan's birthday.",no2-11.php
Toby:," Hey, Brenda. ",no2-11.php
Michael:," Oh, hey, Toby. So... It's an analogy. ",no2-11.php
Michael:, [Toby running to get on the cruise] Hey! What's wrong with you? You missed the boat.,no2-11.php
Toby:, I got lost.,no2-11.php
Michael:, Idiot.,no2-11.php
Captain Jack:, We can go back.,no2-11.php
Michael:," No, no, no. That's his punishment for not being here on time. Too bad, anchor!",no2-11.php
Toby:, I guess I shouldn't have stopped for dinner.,no2-11.php
Dwight:," On the high seas, Captain Jack is the leader. On the land it's Michael. On the ramp up to the boat, I was a bit conflicted. But now that I'm here, I'll follow Captain Jack to hell and back.",no2-11.php
Dwight:," Hey, Captain Jack, what kind of fish they got in this lake?",no2-11.php
Captain Jack:," Perch, bass.",no2-11.php
Dwight:," You know, my grandfather told me there was a monster here that eats Catholics. Have you heard...",no2-11.php
Captain Jack:," I haven't heard that, Dwight.",no2-11.php
Dwight:," If the hull is breached for any reason or the boat is overtaken, I am a volunteer Sheriff's Deputy, and you can count on me.",no2-11.php
Captain Jack:," That's good to know, Dwight. Thanks.",no2-11.php
Michael:," Your problem now, Captain Jack.",no2-11.php
Michael:, Hey. You know what the best way of studying is?,no2-11.php
Ryan:," At home, not on a boat?",no2-11.php
Michael:, Flash cards.,no2-11.php
Ryan:, Flash cards. Doesn't really help me right now because I'm on a boat.,no2-11.php
Michael:, You are gonna get seasick if you keep reading in here.,no2-11.php
Ryan:, Well...,no2-11.php
Captain Jack:," Yeah! All right. All right. That was awesome. All right, looks like the guitar player's gonna take a little break. So this'd be a great time to head on over to the taco bar. All right.",no2-11.php
Michael:," That is a great way to kill this party. Not on my watch. Let's, uh,... Let's rock. Let's rock some stuff here, okay? [playing badly] Okay... I'm hearing a little too much reverb. [feedback echoing] Can we down the reverb? All right. Follow my lead. [playing Smoke on the Water] Does you guys know that? Take the bass. Take the drums. What?",no2-11.php
Creed:, Do you want me to give it a shot? Just...,no2-11.php
Michael:, You know what? I don't think it's in...,no2-11.php
Creed:, I...,no2-11.php
Michael:, That's not in tune. I don't know if you can...,no2-11.php
Creed:," I don't know, let's try.",no2-11.php
Michael:," ...make much of out of it, Creed. Good luck to you. I don't know. It is a defective ax, my friend. ",no2-11.php
Creed:, All right.,no2-11.php
Michael:, Good luck.,no2-11.php
Creed:," Guys, E, blues. Follow me, okay? [playing well]",no2-11.php
Roy:, Yeah!,no2-11.php
Creed:," Back in the '60s, I was with the Grass Roots. We toured with Janis Joplin, The Doors, Cream. We had a lot of fun, And now I do quality assurance for a paper company. As you can imagine, drugs played a part. They still do. My work calls last about 90 seconds, and that's about as long as I can concentrate.",no2-11.php
Michael:, Those slide moves are just bush league. I hope I die before I'm old.,no2-11.php
Ryan:, [throwing up],no2-11.php
Darryl:," [speaking Spanish] Por favor, tequila seoor.",no2-11.php
Angela:, I think you've had enough.,no2-11.php
Darryl:," What you say, bitch? You know, you might be right.    ",no2-11.php
Pam:, You've been to the lake before?,no2-11.php
Roy:," Yes, I have. [kisses Pam]",no2-11.php
Roy:, Should have done it a long time ago.,no2-11.php
Pam:," Yes, you should have.",no2-11.php
Roy:," I do what's right whenever I figure it out. I love you, babe.",no2-11.php
Pam:, Love you.,no2-11.php
Katy:, You should make a toast.,no2-11.php
Jim:," No, I really don't want to.",no2-11.php
Katy:," Jim, come on, don't be shy.",no2-11.php
Katy:," Everybody, everybody? There is a toast. Come on...",no2-11.php
Michael:, Yeah! Toast!,no2-11.php
Katy:," Yeah, toast! Toast! Toast!",no2-11.php
Pam:, Yeah.,no2-11.php
Roy:, Come on.,no2-11.php
Jim:," Thanks, Katy. Um, didn't really prepare anything to say. We're all caught pretty unprepared with this whirlwind courtship. I guess I just wanna say that Pam is the greatest. My best friend. And she's awesome. And...",no2-11.php
Dwight:," Okay, okay. My turn, my turn. Is this thing on? Uh, I want to congratulate the happy couple. You know, they say that marriage is an institution. And I say, who wants to be in an institution?",no2-11.php
Michael:," That's my line! That's my line, That's... I always say that at weddings. So I'll just think of something else to say. I... [band starts playing]",no2-11.php
Katy:, Cheers.,no2-11.php
Michael:," Hey, Jim. You got a hat?",no2-11.php
Jim:, Yeah.,no2-11.php
Michael:, Thanks.,no2-11.php
Phyllis:, [to Angela] So this is...,no2-11.php
Stanley:," [storms out of Michael's office] Well, we're not going to Florida.",no2-11.php
Phyllis:," Oh. Someplace with a pool, then?",no2-11.php
Stanley:, [gives Phyllis a look],no2-11.php
Jim:, Not much what's up with you?,no2-13.php
Pam:," Oh, I can not believe I fell for that. [laughing] Oh, my God.",no2-13.php
Michael:," Ah, ah, ah, what? What? Where's the funny? Give it to me.",no2-13.php
Jim:," Umm, is it me or does it smell like up-dog in here?",no2-13.php
Michael:, What's up-dog?,no2-13.php
Jim:, Nothin' much what's up with you?,no2-13.php
Michael:," Oh, oh, wow! I walked right into that. Oh, that's brilliant!",no2-13.php
Michael:," Hey, Stanley, is that jacket make of up-dog?",no2-13.php
Stanley:, I'm on the phone.,no2-13.php
Michael:," Mmm, what flavour coffee is that?  Up-dog?",no2-13.php
Ryan:, What's that?,no2-13.php
Michael:," I don't know, nothin', what's up with you?",no2-13.php
Ryan:, Huh?,no2-13.php
Michael:," [low] No, damn it!",no2-13.php
Kevin:, What does that mean?,no2-13.php
Michael:, What does what mean?,no2-13.php
Kevin:, The thing you just said?,no2-13.php
Michael:, Just forget it.,no2-13.php
Michael:, Dwight! Hey is it me or does this place smell like up-dog?,no2-13.php
Dwight:, What's up-dog?,no2-13.php
Michael:," Gotcha! [laughing] Oh, God. [low] Crap! Nothin' how ya doing?",no2-13.php
Dwight:, Good. How are you doing?,no2-13.php
Jim:, [mouthing] So close.,no2-13.php
Michael:, [low] Damn it.,no2-13.php
Michael:," Today is spring cleaning day here at Dunder Mifflin. And yes I know its January. I am not an idiot. But, if you do your Spring cleaning in January; guess what you don't have to do in the spring?  Anything.  They say a cluttered desk means a cluttered mind.  Well I say that an empty desk means a... ",no2-13.php
Dwight:, Empty mind.,no2-13.php
Michael:," No, that's not... no, that's not what I was going to say.",no2-13.php
Dwight:," Meredith, men's room. Make sure you replace the urinal cakes.  They're worn down. Kevin file drawers. Angela kitchen. Oscar dusting. Where is Oscar?",no2-13.php
Angela:, He's out sick.,no2-13.php
Dwight:, That's unacceptable.,no2-13.php
Angela:, I agree it's unacceptable. [longing look],no2-13.php
Kevin:, Whhh... What are you guys doing?,no2-13.php
Dwight:, Michael.,no2-13.php
Michael:, Yes.,no2-13.php
Dwight:, Oscar is out sick.,no2-13.php
Michael:, On a Friday? [Dwight nods],no2-13.php
Dwight:, Can I do some of the talking?,no2-13.php
Michael:, I will do all the talking.,no2-13.php
Dwight:," Ok, let him know that I'm here.",no2-13.php
Oscar:, Hello.,no2-13.php
Michael:, What difference does it make whether your here?,no2-13.php
Oscar:, Hello?,no2-13.php
Michael:," Hi, Oscar its Michael.",no2-13.php
Dwight:, And Dwight.,no2-13.php
Michael:," Yechh, yeah, um, heard you were under the weather?",no2-13.php
Oscar:, Yeah I think I came down with the flu.,no2-13.php
Michael:," Really? Oh, that is a shame.  You know it's cleaning day here today? Could have used some of that famous Hispanic cleaning ethic.",no2-13.php
Oscar:," Yeah, I feel terrible about it.",no2-13.php
Dwight:, Ask him his symptoms. I'm on Web M.D.,no2-13.php
Michael:, What are your symptoms?,no2-13.php
Oscar:, I have the chills.,no2-13.php
Michael:," Umm, hmmm.",no2-13.php
Oscar:, I feel nauseous and my heads killing.,no2-13.php
Dwight:, Checks out.,no2-13.php
Oscar:, Michael is there anything you need from me? I'd like to go back to bed.,no2-13.php
Michael:, I need you to go back to bed. I need you to get better. See you Monday.  Unless you're still sick.  So have a great long weekend.,no2-13.php
Oscar:, I'll just be sleep--- [Michael hangs up the phone before Oscar can finish] ,no2-13.php
Dwight:, Ok. First impressions?,no2-13.php
Michael:, He sounded sick.,no2-13.php
Dwight:, Which is exactly how you'd wanna sound like if you wanted someone to think you were sick.,no2-13.php
Michael:, That's exactly what I was thinking.,no2-13.php
Dwight:, Question? May I investigate?,no2-13.php
Michael:, Yeah. Drop what you're doing. Make this a priority. Because an office can't function efficiently unless people are at their desks doing their jobs.,no2-13.php
Pam:, I bought my veil.,no2-13.php
Kelly:, Oh my God! That is so exciting! Can I be a bridesmaid? ,no2-13.php
Pam:, Ummm...,no2-13.php
Kelly:," Listen, you don't have to answer now. But how are you going to do your hair?",no2-13.php
Pam:," Ok. I was thinking about wearing it down. Kind of like, I don't know, like loose with big curls and...",no2-13.php
Kelly:, You'd look like an angel. I'm seriously going to cry.,no2-13.php
Michael:," Wowweee. Mikey likey. Why don't you wear your hair like that all the time.  It's much sexier. [Pam puts hair back up] [Michael walks by Jim] Man, this must be torture for you.",no2-13.php
Jim:, Yeah. On the booze cruise I told Michael about some feelings I used to have for Pam. I had just broken up with Katy and had a couple drinks. And I confided in the world's worst confidant.,no2-13.php
Jim:, Hey Michael.,no2-13.php
Michael:, Hey Jim-bag.,no2-13.php
Jim:, Remember that thing I told you on the booze cruise about Pam? That... was... personal so if we can just keep that between you and me. That would be great.,no2-13.php
Michael:, Really?,no2-13.php
Jim:," Umm, hmm.",no2-13.php
Michael:, Who else knows?,no2-13.php
Jim:, Nobody.,no2-13.php
Michael:, Wow!,no2-13.php
Michael:," Jim and I are great friends. We hang out a ton, mostly at work. But, the fact that he told me his secret and no one else knows says everything about our friendship.  And it is why, I intend on keeping that secret for as long as I possibly can.",no2-13.php
Michael:, My lips are sealed. [singing] My lips are sealed... Bangles.,no2-13.php
Jim:, Alright. Great. Thank you.,no2-13.php
Michael:," [singing] Can you hear me, they talk about us... ",no2-13.php
Dwight:, Listen Temp. I am conducting a little investigation so I'm no longer going to be able to head up spring cleaning.  Do you think you can handle it?,no2-13.php
Ryan:," Yeah, I think I can handle it.",no2-13.php
Dwight:,?,no2-13.php
Ryan:, I think.,no2-13.php
Dwight:," [low] Oh God, here.",no2-13.php
Michael:," Hey, whatcha gettin'?",no2-13.php
Jim:, I'm going with grape.,no2-13.php
Michael:," Ah, good stuff, good stuff. Did you see the game last night?",no2-13.php
Jim:, Which one?,no2-13.php
Michael:," Any of em?  So, uh, what's the 411? Any news on the ""P"" situation?",no2-13.php
Jim:, I don't know what you mean.,no2-13.php
Michael:, P-A-M. P-A,no2-13.php
Jim:," Uh, uh, ok.",no2-13.php
Michael:," No it's okay, we're talking code.",no2-13.php
Stanley:, What is?,no2-13.php
Michael:, Listen Stanley. How long does it take you to pick out a soda?,no2-13.php
Jim:, I'm going to take off actually.,no2-13.php
Michael:," Alright, well, cool. [Michael walks by Jim] Still deciding?",no2-13.php
Stanley:, Hmm?,no2-13.php
Michael:, [Michael presses a button for Stanley] Peach iced tea. You're going to hate it.,no2-13.php
Dwight:," Hey Oscar how ya doin'? Dwight Schrute calling.  Listen a little question for you, buddy.  I called six minutes ago and no one answered. So I was wondering if you could explain. Oh, I see, so. Sounds like you're too sick to come into work but your well enough to go to the pharmacy.",no2-13.php
Dwight:," There are several different ways to tell if a perp is lying. The liar will avoid direct eye contact. The liar will cover part of his or her face with his hands, especially the mouth.  The liar will perspire.  Unfortunately I spoke to Oscar on the phone so none of this is useful.",no2-13.php
Michael:, It's Grrrrrrape! Soda.,no2-13.php
Jim:, Tony the tiger.  You don't hear that much any more.,no2-13.php
Michael:, Not so much.,no2-13.php
Dwight:," Ok, what is going on here?",no2-13.php
Michael:, Nothing.,no2-13.php
Dwight:," Oh, really nothing? Fact: You are drinking grape soda. You never drink grape soda.  Fact: You are talking to Jim. You never talk to Jim.",no2-13.php
Michael:, Fact: I love grape soda. I always have. Fact: Jim and I talk all the time. We tell each other secrets.,no2-13.php
Dwight:, Ok. So what is the secret Michael?,no2-13.php
Jim:," Um, I had asked Michael if I could head up the Oscar investigation and he said that only Dwight was capable of handling such sensitive material.",no2-13.php
Dwight:, Is that true?,no2-13.php
Michael:," Um, I don't know, yeah, yeah, yeah it is.",no2-13.php
Dwight:, Thank you Michael.  I know your telling the truth.,no2-13.php
Michael:, Ok.,no2-13.php
Dwight:, I can tell. I won't let you down.,no2-13.php
Michael:, Good.,no2-13.php
Jim:, Thanks.,no2-13.php
Michael:," Whooo, nice. That was, that was slick.  What are you doin' for lunch?",no2-13.php
Jim:, I don't know probably just gonna eat my ham and cheese sandwich in the break room.,no2-13.php
Michael:," Oh nonsense [lifts leg and puts it on Jim's desk], no way, no. Why don't, why don't I take you out to lunch? My treat.",no2-13.php
Jim:," No, that's alright, thank you though. It's, I, gotta do some cleaning, should probably stick around here.",no2-13.php
Michael:, Hey you know what we could do? We could spread out a blanket in the break room.  Have a little picnic order some 'za. Talk about you know who.,no2-13.php
Jim:," Oh, ah, no but no. You know what let's go out. That was a good idea.  Let's go out.",no2-13.php
Michael:, I know just he place.,no2-13.php
Michael:," [at Hooters] Oh man, you should order milk. Get it? ",no2-13.php
Michael:," Why do I like Hooters? Well I will give you two reasons, the boobs and the hot wings.",no2-13.php
Michael:," Oh, here we go, here we go. Bogy at 3 o'clock. Hi.",no2-13.php
Dana:, Hey I'm Dana. Welcome to Hooters.,no2-13.php
Michael:," We're not worthy. We're not worthy. Hello Dana, I am Michael and this is Jim and we are brothers.",no2-13.php
Jim:, Nope we're not brothers.,no2-13.php
Michael:, I'm his boss actually.  And I treat him well. I'm taking him out to lunch cause I can afford it and he can have whatever he wants.,no2-13.php
Jim:," Can I just have the ham and cheese sandwich, thanks.",no2-13.php
Dana:, And for you?,no2-13.php
Michael:," Tell me Dana, how is your chicken breast?",no2-13.php
Dana:," Oh, it's great. It's served with our world famous wing sauce.",no2-13.php
Michael:," Mmmm, sounds yummy.  I will have a chicken breast hold the chicken. [Giggles]",no2-13.php
Dana:, Is that what you really want?,no2-13.php
Michael:," No, I'm gonna have the gourmet hot dog.",no2-13.php
Dana:, Great.,no2-13.php
Dwight:, Who took all the black ones?,no2-13.php
Pam:, That's a communal bowl.,no2-13.php
Dwight:," So, how did Oscar sound when he called in?",no2-13.php
Pam:," Sick, like lots of sniffling. I don't know.",no2-13.php
Dwight:, Sniffling how?,no2-13.php
Pam:, Umm. How many different ways are there to sniffle?,no2-13.php
Dwight:, Three.,no2-13.php
Pam:," Ok, it was the second one.",no2-13.php
Dwight:," Ok, good, thank you.  That wasn't so hard now was it?",no2-13.php
Pam:, Nuh-uh.,no2-13.php
Michael:, What do you like best about Pam?,no2-13.php
Jim:," Uh, I really don't want to talk about it.",no2-13.php
Michael:," Is it her boobs, or... ",no2-13.php
Jim:," Um, she's easy to talk to I guess and she's got a really good sense of humor.",no2-13.php
Michael:, Really?,no2-13.php
Jim:, Uh-huh.,no2-13.php
Michael:, Never get's any of my jokes.,no2-13.php
Jim:, What about you?,no2-13.php
Michael:," Her boobs, definitely.",no2-13.php
Jim:," Wow, that's not what I meant.",no2-13.php
Dana:, Here you go.,no2-13.php
Michael:," Oh, thank you.",no2-13.php
Dana:, And I understand we have a birthday today.,no2-13.php
